trajectory_id,semantic_seed,generator,temperature,stochastic_seed,W,n_chunks_x,n_chunks_post_horizon_x,mean_step_displacement,std_step_displacement,mean_distance_from_origin,final_distance_from_origin,msd_alpha,msd_alpha_se,msd_r_squared,msd_plateau,integrated_autocorr_time,recurrence_epsilon,recurrence_rate,determinism,mean_diagonal_line,max_diagonal_line,trapping_time,n_diagonal_lines,degenerate,n_chunks_y,n_chunks_post_horizon_y,looping_fraction,unproductive_fraction,mean_novel_shingle_fraction,min_novel_shingle_fraction,late_pairwise_similarity_median,late_pairwise_similarity_max,mean_ngram_repetition,max_ngram_repetition,mean_type_token_ratio,mean_entropy_bits,mean_compression_ratio,entropy_trend_per_turnover,at_fixed_point,degeneracy_mode
or-qwen3-8b__W4096__T0p3__noise__s2,noise,or-qwen3-8b,0.3,2,4096,128,124,0.00989075,0.0356927,0.224783,0.224705,0.4902,0.00964495,0.988978,0.0930183,2.47563,2.10734e-08,0.0277996,0.985849,9.08696,19,15.6207,23,True,128,124,0.016129,0.991935,0.0301877,0,1,1,0.038879,0.101865,0.466251,7.32973,0.458489,-0.0101188,1,2
or-qwen3-8b__W4096__T0p3__noise__s3,noise,or-qwen3-8b,0.3,3,4096,128,124,0.00487982,0.0259481,0.243654,0.249921,0.248204,0.0116192,0.940654,0.0238759,4.12486,0,0,0,0,0,0,0,True,128,124,0,1,0.0139453,0,1,1,0.0256776,0.0391304,0.493499,7.42542,0.488241,-0.000459425,1,2
or-qwen3-8b__W4096__T0p3__physics__s1,physics,or-qwen3-8b,0.3,1,4096,128,124,0.00611084,0.0292861,0.10822,0.107553,0.127989,0.0131571,0.766739,0.0231968,4.78467,0,0,0,0,0,0,0,True,128,124,0,0.991935,0.0301443,0,1,1,0.0296612,0.0701493,0.511403,7.62569,0.449188,0.00212281,1,2
or-qwen3-8b__W4096__T0p3__physics__s2,physics,or-qwen3-8b,0.3,2,4096,128,124,0.00195585,0.00718161,0.100745,0.101138,0.0985017,0.0167241,0.546481,0.00508071,7.88077,0,0,0,0,0,0,0,True,128,124,0,1,0.0014351,0,1,1,0.0665507,0.0790323,0.429371,7.43385,0.420414,-3.19908e-06,1,2
or-qwen3-8b__W4096__T0p3__physics__s3,physics,or-qwen3-8b,0.3,3,4096,128,124,0.0273659,0.0401757,0.302609,0.300331,0.34397,0.003265,0.997413,0.181369,4.12774,0.181242,0.0499607,0.813648,3.44444,13,4.32447,90,True,128,124,0.00806452,0.991935,0.0781302,0,0.792096,1,0.0410733,0.090106,0.515072,7.4457,0.430609,-0.00352019,1,2
or-qwen3-8b__W4096__T0p3__programming__s1,programming,or-qwen3-8b,0.3,1,4096,128,124,0.00312892,0.0109064,0.0799915,0.0798454,0.45185,0.00421303,0.997503,0.0286386,3.62163,0,0,0,0,0,0,0,True,128,124,0.016129,1,0.00695539,0,1,1,0.0553524,0.10068,0.468446,7.74822,0.452716,0.000172311,1,2
or-qwen3-8b__W4096__T0p3__programming__s2,programming,or-qwen3-8b,0.3,2,4096,128,124,0.00372567,0.0122836,0.103481,0.10375,0.29166,0.0185515,0.895676,0.0258032,9.76002,0,0,0,0,0,0,0,True,128,124,0,1,0.0145679,0,1,1,0.059894,0.0729167,0.456907,7.58576,0.441285,-0.00256712,1,2
or-qwen3-8b__W4096__T0p3__programming__s3,programming,or-qwen3-8b,0.3,3,4096,128,124,0.068868,0.0580362,0.312119,0.278971,0.396015,0.0144072,0.963295,0.466004,14.3485,0.263327,0.0499607,0.745407,5.07143,22,6.86667,56,True,128,124,0.491935,0.991935,0.109415,0,0.654611,1,0.152561,0.791733,0.453027,7.42848,0.400294,0.000354152,1,2
or-qwen3-8b__W4096__T0p3__surreal__s1,surreal,or-qwen3-8b,0.3,1,4096,128,124,0.0475058,0.0349082,0.257196,0.293206,0.245656,0.00474643,0.989367,0.203427,2.99198,0.252769,0.0499607,0.650919,3.22078,9,3.71186,77,True,128,124,0.870968,1,0.101264,0,0.238095,1,0.398662,0.634825,0.28597,6.87808,0.29025,-0.0191811,1,3
or-qwen3-8b__W4096__T0p3__surreal__s2,surreal,or-qwen3-8b,0.3,2,4096,128,124,0.0119966,0.0320921,0.176874,0.186936,0.0848036,0.00700687,0.835745,0.034199,7.05217,2.58096e-08,0.00472069,0.555556,4,6,7,5,True,128,124,0.104839,0.983871,0.0342969,0,1,1,0.0502982,0.375587,0.395371,7.18097,0.436097,0.000755451,1,2
or-qwen3-8b__W4096__T0p3__surreal__s3,surreal,or-qwen3-8b,0.3,3,4096,128,124,0.00355567,0.0163223,0.234812,0.237051,0.330581,0.0153226,0.941753,0.0226105,5.42637,2.58096e-08,0.00314713,0.0833333,2,2,3,1,True,128,124,0.935484,1,0.0172884,0,1,1,0.118921,0.123762,0.436054,7.40629,0.414841,0.00156902,1,3
or-qwen3-8b__W4096__T0p3__war__s1,war,or-qwen3-8b,0.3,1,4096,128,124,0.168301,0.0338434,0.424105,0.449134,0.0150701,0.0232252,0.014414,0.36945,1.65964,0.44873,0.0499607,0.309711,2.68182,7,2.15385,44,True,128,124,0.975806,0.967742,0.127575,0,0.524929,0.961606,0.29633,0.382629,0.313322,7.1246,0.334968,-0.00115553,1,3
